workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
write,2048,ordered,bfq,512,on,atime,30,libaio,949.2545903,33296,16648.29163
randread,2048,ordered,bfq,512,on,atime,30,libaio,404.5488842,64408,32204.4226
randwrite,2048,ordered,bfq,512,on,atime,30,libaio,1525.944005,20863,10431.51612
rw,2048,ordered,bfq,512,on,atime,30,libaio,296.1839243,42482,21241.14397
randrw,2048,ordered,bfq,512,on,atime,30,libaio,1245.022358,12639,6319.764069
read,2048,ordered,bfq,512,off,noatime,5,sync,1.430312904,109135,54567.86012
write,2048,ordered,bfq,512,off,noatime,5,sync,44.27710761,44468,22234.43596
randread,2048,ordered,bfq,512,off,noatime,5,sync,25.26985133,57588,28794.3761
randwrite,2048,ordered,bfq,512,off,noatime,5,sync,74.86253677,26369,13184.99145
rw,2048,ordered,bfq,512,off,noatime,5,sync,7.168455163,61254,30627.46017
randrw,2048,ordered,bfq,512,off,noatime,5,sync,102.0911213,11536,5768.15815
read,2048,ordered,bfq,512,off,noatime,5,libaio,38.60697733,218818,109409.015
write,2048,ordered,bfq,512,off,noatime,5,libaio,747.1186803,42158,21079.44677
randread,2048,ordered,bfq,512,off,noatime,5,libaio,370.8614295,69534,34767.10875
randwrite,2048,ordered,bfq,512,off,noatime,5,libaio,1344.040359,23667,11833.87505
rw,2048,ordered,bfq,512,off,noatime,5,libaio,89.81741567,89105,44552.8289
randrw,2048,ordered,bfq,512,off,noatime,5,libaio,1578.133511,10072,5036.13808
read,2048,ordered,bfq,512,off,noatime,30,sync,1.506406662,272215,136107.9958
write,2048,ordered,bfq,512,off,noatime,30,sync,61.12093219,32331,16165.76221
randread,2048,ordered,bfq,512,off,noatime,30,sync,23.45543666,67930,33965.27598
randwrite,2048,ordered,bfq,512,off,noatime,30,sync,78.4104369,25198,12599.44247
rw,2048,ordered,bfq,512,off,noatime,30,sync,5.215035557,96756,48378.23834
randrw,2048,ordered,bfq,512,off,noatime,30,sync,88.09808205,13195,6597.920452
read,2048,ordered,bfq,512,off,noatime,30,libaio,27.88501464,293883,146941.704
write,2048,ordered,bfq,512,off,noatime,30,libaio,690.3525235,45629,22814.96954
randread,2048,ordered,bfq,512,off,noatime,30,libaio,365.3235329,71041,35520.86721
randwrite,2048,ordered,bfq,512,off,noatime,30,libaio,1173.333543,27094,13547.49354
rw,2048,ordered,bfq,512,off,noatime,30,libaio,120.3341315,76667,38333.72434
randrw,2048,ordered,bfq,512,off,noatime,30,libaio,1227.435016,12645,6322.820935
read,2048,ordered,bfq,512,off,atime,5,sync,1.370771294,262932,131466.3992
